evaluation,best_f
299,-278.42995656938956
300,-278.42995656938956
301,-278.42995656938956
302,-278.42995656938956
303,-278.42995656938956
304,-278.42995656938956
305,-278.42995656938956
306,-278.42995656938956
307,-278.42995656938956
308,-278.42995656938956
309,-278.42995656938956
310,-278.42995656938956
311,-278.42995656938956
312,-278.42995656938956
313,-278.42995656938956
314,-278.42995656938956
315,-278.42995656938956
316,-278.42995656938956
317,-278.42995656938956
318,-278.42995656938956
319,-278.42995656938956
320,-278.42995656938956
321,-278.42995656938956
322,-278.42995656938956
323,-278.42995656938956
324,-278.42995656938956
325,-278.42995656938956
326,-278.42995656938956
327,-278.42995656938956
328,-278.42995656938956
329,-278.42995656938956
330,-278.42995656938956
331,-278.42995656938956
332,-278.42995656938956
333,-278.42995656938956
334,-278.42995656938956
335,-278.42995656938956
336,-278.42995656938956
337,-278.42995656938956
338,-278.42995656938956
339,-278.42995656938956
340,-278.42995656938956
341,-278.42995656938956
342,-278.42995656938956
343,-278.42995656938956
344,-278.42995656938956
345,-278.42995656938956
346,-278.42995656938956
347,-278.42995656938956
348,-278.42995656938956
349,-278.42995656938956
350,-278.42995656938956
351,-278.42995656938956
352,-278.42995656938956
353,-278.42995656938956
354,-278.42995656938956
355,-278.42995656938956
356,-278.42995656938956
357,-278.42995656938956
358,-278.42995656938956
359,-278.42995656938956
360,-278.42995656938956
361,-278.42995656938956
362,-278.42995656938956
363,-278.42995656938956
364,-278.42995656938956
365,-278.42995656938956
366,-278.42995656938956
367,-278.42995656938956
368,-278.42995656938956
369,-278.42995656938956
370,-278.42995656938956
371,-278.42995656938956
372,-278.42995656938956
373,-278.42995656938956
374,-278.42995656938956
375,-278.42995656938956
376,-278.42995656938956
377,-278.42995656938956
378,-278.42995656938956
379,-278.42995656938956
380,-278.42995656938956
381,-278.42995656938956
382,-278.42995656938956
383,-278.42995656938956
384,-278.42995656938956
385,-278.42995656938956
386,-278.42995656938956
387,-278.42995656938956
388,-278.42995656938956
389,-278.42995656938956
390,-278.42995656938956
391,-278.42995656938956
392,-278.42995656938956
393,-278.42995656938956
394,-278.42995656938956
395,-278.42995656938956
396,-278.42995656938956
397,-278.42995656938956
398,-278.42995656938956
399,-278.42995656938956
400,-278.42995656938956
401,-278.42995656938956
402,-278.42995656938956
403,-278.42995656938956
404,-278.42995656938956
405,-278.42995656938956
406,-278.42995656938956
407,-278.42995656938956
408,-278.42995656938956
409,-278.42995656938956
410,-278.42995656938956
411,-278.42995656938956
412,-278.42995656938956
413,-278.42995656938956
414,-278.42995656938956
415,-278.42995656938956
416,-278.42995656938956
417,-278.42995656938956
418,-278.42995656938956
419,-278.42995656938956
420,-278.42995656938956
421,-278.42995656938956
422,-278.42995656938956
423,-278.42995656938956
424,-278.42995656938956
425,-278.42995656938956
426,-278.42995656938956
427,-278.42995656938956
428,-278.42995656938956
429,-278.42995656938956
430,-278.42995656938956
431,-278.42995656938956
432,-278.42995656938956
433,-278.42995656938956
434,-278.42995656938956
435,-278.42995656938956
436,-278.42995656938956
437,-278.42995656938956
438,-278.42995656938956
439,-278.42995656938956
440,-278.42995656938956
441,-278.42995656938956
442,-278.42995656938956
443,-278.42995656938956
444,-278.42995656938956
445,-278.42995656938956
446,-278.42995656938956
447,-278.42995656938956
448,-278.42995656938956
449,-278.42995656938956
450,-278.42995656938956
451,-278.42995656938956
